sample_id,app_id,app,domain_id,running,foreground,reclaimable_pages,launch_pages
s001,0,WPS,100,1,1,5000,7000
s001,1,飞书,0,0,0,0,6000
s001,2,腾讯QQ,102,1,0,7000,8000
s002,0,WPS,100,1,0,5000,7000
s002,1,飞书,0,0,0,0,6000
s002,2,腾讯QQ,102,1,1,7000,8000
s003,0,WPS,0,0,0,0,7000
s003,1,飞书,101,1,1,6000,6000
s003,2,腾讯QQ,0,0,0,0,8000
s004,0,WPS,100,1,1,5000,7000
s004,1,飞书,0,0,0,0,6000
s004,2,腾讯QQ,102,1,0,7000,8000
s005,0,WPS,100,1,0,5000,7000
s005,1,飞书,0,0,0,0,6000
s005,2,腾讯QQ,102,1,1,7000,8000
s006,0,WPS,0,0,0,0,7000
s006,1,飞书,101,1,1,6000,6000
s006,2,腾讯QQ,0,0,0,0,8000
